AvgFitness=1.0294e-05 StdDev=1.20596e-06
AvgFitness=1.03059e-05 StdDev=1.19465e-06
AvgFitness=1.02642e-05 StdDev=1.16204e-06
AvgFitness=1.02176e-05 StdDev=1.17805e-06
AvgFitness=1.01699e-05 StdDev=1.19719e-06
AvgFitness=1.01897e-05 StdDev=1.22722e-06
AvgFitness=1.01835e-05 StdDev=1.2382e-06
AvgFitness=1.02676e-05 StdDev=1.27841e-06
AvgFitness=1.02232e-05 StdDev=1.24464e-06
AvgFitness=1.01976e-05 StdDev=1.1922e-06
AvgFitness=1.01898e-05 StdDev=1.16434e-06
AvgFitness=1.01658e-05 StdDev=1.15097e-06
AvgFitness=1.02073e-05 StdDev=1.12497e-06
AvgFitness=1.01794e-05 StdDev=1.17317e-06
AvgFitness=1.0172e-05 StdDev=1.1861e-06
AvgFitness=1.01539e-05 StdDev=1.21434e-06
AvgFitness=1.01444e-05 StdDev=1.2679e-06
AvgFitness=1.02063e-05 StdDev=1.25988e-06
AvgFitness=1.02291e-05 StdDev=1.31646e-06
AvgFitness=1.02191e-05 StdDev=1.34681e-06
AvgFitness=1.0273e-05 StdDev=1.40334e-06
AvgFitness=1.02704e-05 StdDev=1.43455e-06
AvgFitness=1.03819e-05 StdDev=1.48816e-06
AvgFitness=1.03434e-05 StdDev=1.47903e-06
AvgFitness=1.03849e-05 StdDev=1.44482e-06
AvgFitness=1.04744e-05 StdDev=1.46066e-06
AvgFitness=1.05717e-05 StdDev=1.51363e-06
AvgFitness=1.06455e-05 StdDev=1.47995e-06
AvgFitness=1.07326e-05 StdDev=1.52669e-06
AvgFitness=1.07982e-05 StdDev=1.54337e-06
AvgFitness=1.09213e-05 StdDev=1.52473e-06
AvgFitness=1.09601e-05 StdDev=1.52288e-06
AvgFitness=1.10654e-05 StdDev=1.53824e-06
AvgFitness=1.11046e-05 StdDev=1.50437e-06
AvgFitness=1.11455e-05 StdDev=1.49067e-06
AvgFitness=1.11374e-05 StdDev=1.53404e-06
AvgFitness=1.12074e-05 StdDev=1.51709e-06
AvgFitness=1.1194e-05 StdDev=1.55044e-06
AvgFitness=1.12401e-05 StdDev=1.56609e-06
AvgFitness=1.12723e-05 StdDev=1.54856e-06
AvgFitness=1.12718e-05 StdDev=1.54554e-06
AvgFitness=1.12961e-05 StdDev=1.54919e-06
AvgFitness=1.14263e-05 StdDev=1.53179e-06
AvgFitness=1.13643e-05 StdDev=1.49681e-06
AvgFitness=1.14096e-05 StdDev=1.45851e-06
AvgFitness=1.14914e-05 StdDev=1.45059e-06
AvgFitness=1.13895e-05 StdDev=1.47628e-06
AvgFitness=1.13398e-05 StdDev=1.47681e-06
AvgFitness=1.12817e-05 StdDev=1.49516e-06
AvgFitness=1.12546e-05 StdDev=1.47276e-06
AvgFitness=1.13096e-05 StdDev=1.44102e-06
AvgFitness=1.13168e-05 StdDev=1.40636e-06
AvgFitness=1.12477e-05 StdDev=1.43718e-06
AvgFitness=1.12274e-05 StdDev=1.44758e-06
AvgFitness=1.12703e-05 StdDev=1.42038e-06
AvgFitness=1.12438e-05 StdDev=1.44414e-06
AvgFitness=1.12737e-05 StdDev=1.47566e-06
AvgFitness=1.12736e-05 StdDev=1.49762e-06
AvgFitness=1.13875e-05 StdDev=1.51747e-06
AvgFitness=1.14322e-05 StdDev=1.52284e-06
AvgFitness=1.14515e-05 StdDev=1.49944e-06
AvgFitness=1.13862e-05 StdDev=1.52264e-06
AvgFitness=1.13772e-05 StdDev=1.50946e-06
AvgFitness=1.13868e-05 StdDev=1.50271e-06
AvgFitness=1.14181e-05 StdDev=1.4967e-06
AvgFitness=1.13727e-05 StdDev=1.45489e-06
AvgFitness=1.14207e-05 StdDev=1.44708e-06
AvgFitness=1.13944e-05 StdDev=1.40708e-06
AvgFitness=1.14907e-05 StdDev=1.36899e-06
AvgFitness=1.1456e-05 StdDev=1.33773e-06
AvgFitness=1.14788e-05 StdDev=1.35301e-06
AvgFitness=1.14747e-05 StdDev=1.30661e-06
AvgFitness=1.14705e-05 StdDev=1.32871e-06
AvgFitness=1.1464e-05 StdDev=1.3619e-06
AvgFitness=1.13481e-05 StdDev=1.36863e-06
AvgFitness=1.13527e-05 StdDev=1.35235e-06
AvgFitness=1.13064e-05 StdDev=1.34316e-06
AvgFitness=1.13267e-05 StdDev=1.32636e-06
