AvgFitness=1.02238e-05 StdDev=1.26976e-06
AvgFitness=1.01818e-05 StdDev=1.21574e-06
AvgFitness=1.0134e-05 StdDev=1.18192e-06
AvgFitness=1.00627e-05 StdDev=1.1816e-06
AvgFitness=1.0067e-05 StdDev=1.22382e-06
AvgFitness=1.00181e-05 StdDev=1.18284e-06
AvgFitness=1.00229e-05 StdDev=1.1894e-06
AvgFitness=1.00124e-05 StdDev=1.214e-06
AvgFitness=1.00426e-05 StdDev=1.18411e-06
AvgFitness=1.00769e-05 StdDev=1.18893e-06
AvgFitness=1.01169e-05 StdDev=1.19524e-06
AvgFitness=1.00894e-05 StdDev=1.18005e-06
AvgFitness=1.0057e-05 StdDev=1.17557e-06
AvgFitness=1.0093e-05 StdDev=1.21338e-06
AvgFitness=1.00637e-05 StdDev=1.21226e-06
AvgFitness=1.00159e-05 StdDev=1.23569e-06
AvgFitness=9.97419e-06 StdDev=1.18843e-06
AvgFitness=9.86891e-06 StdDev=1.23307e-06
AvgFitness=9.86316e-06 StdDev=1.18226e-06
AvgFitness=9.93127e-06 StdDev=1.20929e-06
AvgFitness=9.98257e-06 StdDev=1.17684e-06
AvgFitness=9.92164e-06 StdDev=1.18389e-06
AvgFitness=9.89619e-06 StdDev=1.17654e-06
AvgFitness=9.93491e-06 StdDev=1.20444e-06
AvgFitness=9.9753e-06 StdDev=1.22432e-06
AvgFitness=9.94354e-06 StdDev=1.19352e-06
AvgFitness=9.88881e-06 StdDev=1.21628e-06
AvgFitness=9.9019e-06 StdDev=1.22587e-06
AvgFitness=9.90877e-06 StdDev=1.19735e-06
AvgFitness=9.86783e-06 StdDev=1.19557e-06
AvgFitness=9.91399e-06 StdDev=1.186e-06
AvgFitness=9.87473e-06 StdDev=1.17177e-06
AvgFitness=9.81707e-06 StdDev=1.18417e-06
AvgFitness=9.81515e-06 StdDev=1.20313e-06
AvgFitness=9.87656e-06 StdDev=1.20995e-06
AvgFitness=9.83086e-06 StdDev=1.23231e-06
AvgFitness=9.84672e-06 StdDev=1.20211e-06
AvgFitness=9.90846e-06 StdDev=1.19451e-06
AvgFitness=9.96293e-06 StdDev=1.18252e-06
AvgFitness=9.95556e-06 StdDev=1.15163e-06
AvgFitness=9.98077e-06 StdDev=1.19196e-06
AvgFitness=1.00159e-05 StdDev=1.14472e-06
AvgFitness=9.99681e-06 StdDev=1.16894e-06
AvgFitness=9.98154e-06 StdDev=1.20199e-06
AvgFitness=9.92678e-06 StdDev=1.17889e-06
AvgFitness=9.94846e-06 StdDev=1.18354e-06
AvgFitness=9.997e-06 StdDev=1.21332e-06
AvgFitness=9.95744e-06 StdDev=1.24268e-06
AvgFitness=9.92978e-06 StdDev=1.26093e-06
AvgFitness=9.85837e-06 StdDev=1.25176e-06
AvgFitness=9.86204e-06 StdDev=1.23876e-06
AvgFitness=9.85585e-06 StdDev=1.22665e-06
AvgFitness=9.87492e-06 StdDev=1.18422e-06
AvgFitness=9.88414e-06 StdDev=1.21304e-06
AvgFitness=9.91115e-06 StdDev=1.20756e-06
AvgFitness=9.88788e-06 StdDev=1.21154e-06
AvgFitness=9.8157e-06 StdDev=1.19542e-06
AvgFitness=9.79735e-06 StdDev=1.19517e-06
AvgFitness=9.79019e-06 StdDev=1.16463e-06
AvgFitness=9.84256e-06 StdDev=1.15885e-06
AvgFitness=9.92692e-06 StdDev=1.15139e-06
AvgFitness=9.91496e-06 StdDev=1.19325e-06
AvgFitness=9.86959e-06 StdDev=1.21053e-06
AvgFitness=9.93766e-06 StdDev=1.24316e-06
AvgFitness=9.96185e-06 StdDev=1.24983e-06
AvgFitness=9.98175e-06 StdDev=1.23964e-06
AvgFitness=1.0062e-05 StdDev=1.27283e-06
AvgFitness=1.00798e-05 StdDev=1.31301e-06
AvgFitness=1.01345e-05 StdDev=1.31659e-06
AvgFitness=1.01852e-05 StdDev=1.33009e-06
AvgFitness=1.01621e-05 StdDev=1.32626e-06
AvgFitness=1.02451e-05 StdDev=1.29311e-06
AvgFitness=1.02343e-05 StdDev=1.29279e-06
AvgFitness=1.02443e-05 StdDev=1.29836e-06
AvgFitness=1.02703e-05 StdDev=1.2619e-06
AvgFitness=1.02737e-05 StdDev=1.2678e-06
AvgFitness=1.02682e-05 StdDev=1.27476e-06
AvgFitness=1.02247e-05 StdDev=1.27061e-06
AvgFitness=1.02643e-05 StdDev=1.26596e-06
AvgFitness=1.03215e-05 StdDev=1.27554e-06
AvgFitness=1.02891e-05 StdDev=1.26656e-06
AvgFitness=1.02433e-05 StdDev=1.26901e-06
AvgFitness=1.02797e-05 StdDev=1.29701e-06
